folder_base,image files
lewis_e_m_001_002,mcai010021.tif|mcai010022.tif
lewis_e_m_001_003,mcai010031.tif|mcai010032.tif
lewis_e_m_001_004,mcai010041.tif|mcai010042.tif
lewis_e_m_001_005,mcai010051.tif|mcai010052.tif
lewis_e_m_001_006,mcai010061.tif|mcai010062.tif
lewis_e_m_001_007,mcai010071.tif|mcai010072.tif
lewis_e_m_001_008,mcai010081.tif|mcai010082.tif
lewis_e_m_001_009,mcai010091.tif|mcai010092.tif
lewis_e_m_001_010,mcai010101.tif|mcai010102.tif
lewis_e_m_001_011,mcai010111.tif|mcai010112.tif
lewis_e_m_001_012,mcai010121.tif|mcai010122.tif
lewis_e_m_001_013,mcai010131.tif
lewis_e_m_001_014,mcai010141.tif
lewis_e_m_001_015,mcai010151.tif
lewis_e_m_001_015a,mcai010153.tif
lewis_e_m_001_016,mcai010161.tif|mcai010162.tif
lewis_e_m_001_017,mcai010173.tif|mcai010174.tif|mcai010175.tif|mcai010176.tif
lewis_e_m_001_018,mcai010181.tif|mcai010182.tif
lewis_e_m_001_019,mcai010191.tif|mcai010192.tif
lewis_e_m_001_020,mcai010201.tif|mcai010202.tif
lewis_e_m_001_021,mcai010211.tif|mcai010212.tif
lewis_e_m_001_022,mcai010221.tif|mcai010222.tif
lewis_e_m_001_023,mcai010231.tif
lewis_e_m_001_024,mcai010241.tif|mcai010242.tif
lewis_e_m_001_025,mcai010251.tif|mcai010252.tif
lewis_e_m_001_026,mcai010261.tif|mcai010262.tif
lewis_e_m_001_027,mcai010271.tif|mcai010272.tif
lewis_e_m_001_028,mcai010281.tif|mcai010282.tif
lewis_e_m_001_029,mcai010291.tif|mcai010292.tif
lewis_e_m_002_001,mcai020011.tif|mcai020012.tif
lewis_e_m_002_002,mcai020021.tif|mcai020022.tif
lewis_e_m_002_003,mcai020031.tif|mcai020032.tif
lewis_e_m_002_004,mcai020041.tif|mcai020042.tif
lewis_e_m_002_005,mcai020051.tif|mcai020052.tif
lewis_e_m_002_006,mcai020061.tif|mcai020062.tif
lewis_e_m_002_007,mcai020071.tif
lewis_e_m_002_008,mcai020080.tif|mcai020083.tif|mcai020084.tif|mcai020085.tif|mcai020086.tif|mcai020087.tif|mcai020088.tif|mcai020089.tif
lewis_e_m_002_009,mcai020091.tif|mcai020092.tif
lewis_e_m_002_010,mcai020101.tif|mcai020102.tif
lewis_e_m_002_011,mcai020111.tif|mcai020112.tif
lewis_e_m_002_012,mcai020121.tif|mcai020122.tif
lewis_e_m_002_013,mcai020131.tif|mcai020132.tif
lewis_e_m_002_014,mcai020141.tif|mcai020142.tif
lewis_e_m_003_001,mcai030011.tif
lewis_e_m_003_002,mcai030021.tif
lewis_e_m_003_003,mcai030031.tif
lewis_e_m_003_004,mcai030041.tif
lewis_e_m_003_005,mcai030051.tif
lewis_e_m_003_006,mcai030061.tif
lewis_e_m_003_007,mcai030071.tif
lewis_e_m_003_008,mcai030081.tif
lewis_e_m_003_009,mcai030091.tif
lewis_e_m_003_010,mcai030101.tif
lewis_e_m_003_011,mcai030111.tif
lewis_e_m_003_012,mcai030121.tif
lewis_e_m_003_013,mcai030131.tif
lewis_e_m_003_014,mcai030141.tif
lewis_e_m_003_015,mcai030151.tif
lewis_e_m_003_016,mcai030161.tif
lewis_e_m_003_017,mcai030171.tif
lewis_e_m_003_018,mcai030181.tif
lewis_e_m_003_019,mcai030191.tif
lewis_e_m_003_020,mcai030201.tif
lewis_e_m_003_021,mcai030211.tif
lewis_e_m_003_022,mcai030221.tif
lewis_e_m_003_023,mcai030231.tif
lewis_e_m_003_024,mcai030241.tif
lewis_e_m_003_025,mcai030251.tif
lewis_e_m_003_026,mcai030261.tif
lewis_e_m_003_027,mcai030271.tif
lewis_e_m_003_028,mcai030281.tif
lewis_e_m_004_001,mcai040011.tif|mcai040012.tif
lewis_e_m_004_002,mcai040021.tif|mcai040022.tif
lewis_e_m_004_003,mcai040031.tif|mcai040032.tif
lewis_e_m_004_004,mcai040043.tif|mcai040044.tif|mcai040045.tif|mcai040046.tif|mcai040047.tif|mcai040048.tif
lewis_e_m_004_005,mcai040053.tif|mcai040054.tif|mcai040055.tif|mcai040056.tif|mcai040057.tif|mcai040058.tif
lewis_e_m_004_006,mcai040061.tif|mcai040062.tif
lewis_e_m_004_007,mcai040071.tif|mcai040072.tif
lewis_e_m_004_008,mcai040081.tif|mcai040082.tif
lewis_e_m_004_009,mcai040091.tif|mcai040092.tif
lewis_e_m_004_010,mcai040101.tif|mcai040102.tif
lewis_e_m_004_011,mcai040111.tif|mcai040112.tif
lewis_e_m_004_012,mcai040121.tif|mcai040122.tif
lewis_e_m_004_013,mcai040131.tif|mcai040132.tif
lewis_e_m_004_014,mcai040141.tif|mcai040142.tif
lewis_e_m_005_001,mcai050011.tif|mcai050012.tif
lewis_e_m_005_002,mcai050021.tif|mcai050022.tif
lewis_e_m_005_003,mcai050031.tif|mcai050032.tif
lewis_e_m_005_004,mcai050041.tif|mcai050042.tif
lewis_e_m_005_005,mcai050051.tif|mcai050052.tif
lewis_e_m_005_006,mcai050061.tif|mcai050062.tif
lewis_e_m_005_007,mcai050071.tif
lewis_e_m_005_008,mcai050083.tif|mcai050084.tif|mcai050085.tif|mcai050086.tif|mcai050087.tif|mcai050088.tif
lewis_e_m_005_009,mcai050091.tif|mcai050092.tif
lewis_e_m_005_010,mcai050103.tif|mcai050104.tif|mcai050105.tif|mcai050106.tif
lewis_e_m_005_011,mcai050111.tif|mcai050112.tif
lewis_e_m_005_012,mcai050121.tif|mcai050122.tif
lewis_e_m_005_013,mcai050133.tif|mcai050135.tif|mcai050137.tif|mcai050139.tif
lewis_e_m_005_014,mcai050141.tif|mcai050142.tif
lewis_e_m_005_015,mcai050151.tif|mcai050152.tif
lewis_e_m_005_016,mcai050163.tif|mcai050165.tif|mcai050167.tif
lewis_e_m_005_017,mcai050171.tif|mcai050172.tif
lewis_e_m_005_018,mcai050181.tif|mcai050182.tif
lewis_e_m_005_019,mcai050191.tif|mcai050192.tif
lewis_e_m_005_020,mcai050201.tif|mcai050202.tif
lewis_e_m_005_021,mcai050211.tif|mcai050212.tif
lewis_e_m_005_021a,mcai050213.tif|mcai050214.tif
lewis_e_m_005_022,mcai050221.tif|mcai050222.tif
lewis_e_m_005_023,mcai050231.tif|mcai050232.tif
lewis_e_m_005_024,mcai050241.tif|mcai050242.tif
lewis_e_m_005_025,mcai050251.tif|mcai050252.tif
lewis_e_m_005_026,mcai050261.tif|mcai050262.tif
lewis_e_m_005_027,mcai050271.tif|mcai050272.tif
lewis_e_m_006_001,mcai060011.tif|mcai060012.tif
lewis_e_m_006_002,mcai060021.tif|mcai060022.tif
lewis_e_m_006_003,mcai060031.tif|mcai060032.tif
lewis_e_m_006_004,mcai060041.tif|mcai060042.tif
lewis_e_m_006_005,mcai060051.tif|mcai060052.tif
lewis_e_m_006_006,mcai060061.tif|mcai060062.tif
lewis_e_m_006_007,mcai060071.tif|mcai060072.tif
lewis_e_m_007_001,mcai070011.tif|mcai070012.tif
lewis_e_m_007_002,mcai070021.tif|mcai070022.tif
lewis_e_m_007_003,mcai070031.tif|mcai070032.tif
lewis_e_m_007_004,mcai070041.tif
lewis_e_m_007_005,mcai070051.tif
lewis_e_m_007_006a-l,mcai070061.tif
lewis_e_m_007_007a-j,mcai070071.tif|mcai070072.tif
lewis_e_m_007_008,mcai070081.tif|mcai070082.tif
lewis_e_m_007_009,mcai070091.tif|mcai070092.tif
lewis_e_m_007_010,mcai070101.tif|mcai070102.tif
