Call Number/ID,image files,image labels,Repository Country,Repository City,Repository Name,Source Collection,Facets,Date (narrative),Date (range) start,Date (range) end,Page dimensions,Note(s),Support Material,Language,Place of origin,Script,Creator,Creator Role,Former Owner,FO Ref,Manuscript Name
Lewis E M 1:2,mcai010021.tif|mcai010022.tif|,Lewis E M 1.2 front|Lewis E M 1.2 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1450,100 x 161 mm,"Initials D, C, D, and F (from top to bottom) | The illumination has been attributed to the same hand that executed the decoration of the Piccolomini Gospels (New York Public Library Spencer Coll. MS 29), dated to c. 1420 or c. 1450. | These illuminated initials have been removed from the same manuscript. On the reverse are passages of text typically found in a breviary|The illumination has been attributed to the same hand that executed the decoration of the Piccolomini Gospels (New York Public Library Spencer Coll. MS 29), dated to c. 1420 or c. 1450. | These show the reverse of four cuttings with decorated intials from a breviary. A rubric in the uppermost cutting indicates that the text is part of the Office for the Vigil of St. Andrew.|",Parchment,Latin,Italy,,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Breviary
Lewis E M 1:2,mcai010021.tif|mcai010022.tif|,Lewis E M 1.2 front|Lewis E M 1.2 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italian, Breviary, Liturgy, Fragment",,,,,,,,,,,,,,
Lewis E M 1:3,mcai010031.tif|mcai010032.tif|,Lewis E M 1.3 front|Lewis E M 1.3 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1450,52 x 141 mm,"Initials S, D, and F | The illumination has been attributed to the same hand that executed the decoration of the Piccolomini Gospels (New York Public Library Spencer Coll. MS 29), dated to c. 1420 or c. 1450. | These illuminated initials have been removed from the same manuscript. On the reverse are passages of text typically found in a breviary.|The illumination has been attributed to the same hand that executed the decoration of the Piccolomini Gospels (New York Public Library Spencer Coll. MS 29), dated to c. 1420 or c. 1450. | These cuttings show the reverse of four illuminated initials cut from a breviary.|",Parchment,Latin,Italy,,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Breviary
Lewis E M 1:3,mcai010031.tif|mcai010032.tif|,Lewis E M 1.3 front|Lewis E M 1.3 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italian, Italy, Breviary, Liturgy, Fragment",,,,,,,,,,,,,,
Lewis E M 1:4,mcai010041.tif|mcai010042.tif|,Lewis E M 1.4 front|Lewis E M 1.4 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1450,1475,226 x 161 mm,Initial D | This cutting has been dated to ca. 1460. | This cutting originally belonged in an antiphonary. It begins the antiphon for the 1st Nocturn for the feast of St. Andrew.|This cutting has been dated to ca. 1460. | This image shows the reverse of a cutting with a decorated initial taken from an antiphonary.|,Parchment,Latin,Austria (northern),Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 1:4,mcai010041.tif|mcai010042.tif|,Lewis E M 1.4 front|Lewis E M 1.4 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"Antiphonary, 15th century, Austria, Austrian, Liturgy, Fragment",,,,,,,,,,,,,,
Lewis E M 1:5,mcai010051.tif|mcai010052.tif|,Lewis E M 1.5 front|Lewis E M 1.5 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,46 x 134 mm,"Initials E, D, and D | Rubrics on the reverse of these cuttings indicate that they were originally part of a breviary.|This image shows the reverse of two cuttings of decorated initials taken from a breviary.|",Parchment,Latin,Italy,Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Breviary
Lewis E M 1:5,mcai010051.tif|mcai010052.tif|,Lewis E M 1.5 front|Lewis E M 1.5 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Breviary, Italian, Italy, Liturgy, Fragment",,,,,,,,,,,,,,
Lewis E M 1:6,mcai010061.tif|mcai010062.tif|,Lewis E M 1.6 front|Lewis E M 1.6 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1485,1499,122 x 167 mm,"Initial C with Sts. Francis, Clare, and Mary Magdalene | The place in the liturgy from which this image derives is yet to be determined. On the revers, the text has been erased, but is still perceptible.|This image shows the reverse of a cutting from a choir book. The text has been erased, but is still perceptible.|",Parchment,Latin,"Augsburg, Germany",,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 1:6,mcai010061.tif|mcai010062.tif|,Lewis E M 1.6 front|Lewis E M 1.6 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Germany, German, Song book, Musical notation, Fragment",,,,,,,,,,,,,,
Lewis E M 1:7,mcai010071.tif|mcai010072.tif|,Lewis E M 1.7 front|Lewis E M 1.7 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,133 x 175 mm,"Initial G | This cutting comes from a choir book, most likely an antiphonary or a gradual. The text has yet to be identified.|This image shows the reverse of a cutting with a decorated initial from a choir book.|",Parchment,Latin,Germany,Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 1:7,mcai010071.tif|mcai010072.tif|,Lewis E M 1.7 front|Lewis E M 1.7 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Germany, German, Song book, Musical notation, Fragment",,,,,,,,,,,,,,
Lewis E M 1:8,mcai010081.tif|mcai010082.tif|,Lewis E M 1.8  front|Lewis E M 1.8 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1415,110 x 86 mm,"Initial L | This illuminated initial comes from a manuscript containing St. Augustine of Hippo's Enarrationes in Psalmos, or Commentary on the Psalms.|This image shows the reverse of a cutting with a decorated initial.|",Parchment,Latin,Italy,Cursiva formata,Augustine of Hippo,Author,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Enarrationes in psalmos (Expositions on the Psalms)
Lewis E M 1:8,mcai010081.tif|mcai010082.tif|,Lewis E M 1.8  front|Lewis E M 1.8 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Psalter, Bible, Biblical, Commentary, Italian, Italy, Fragment",,,,,,,,,,,,,,
Lewis E M 1:9,mcai010091.tif|mcai010092.tif|,Lewis E M 1.9  front|Lewis E M 1.9 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1490,1510,130 x 170 mm,"Initial D | This cutting can be dated to ca. 1500. | This illuminated initial begins the Introit for the first Sunday after Pentecost, 'Domine in tua misericordia speravi...' (Lord, I cast myself on thy mercy).|This cutting can be dated to ca. 1500. | This image shows the reverse of a cutting with an illuminated initial from a missal.|",Parchment,Latin,Germany (southern),Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Missal
Lewis E M 1:9,mcai010091.tif|mcai010092.tif|,Lewis E M 1.9  front|Lewis E M 1.9 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, 16th century, Missal, Liturgy, Germany, German, Fragment",,,,,,,,,,,,,,
