call_number_id,facets
Lewis E M 1:2,15th century|Italian|Breviary|Liturgy|Fragment
Lewis E M 1:3,15th century|Italian|Italy|Breviary|Liturgy|Fragment
Lewis E M 1:4,Antiphonary|15th century|Austria|Austrian|Liturgy|Fragment
Lewis E M 1:5,15th century|Breviary|Italian|Italy|Liturgy|Fragment
Lewis E M 1:6,15th century|Germany|German|Song book|Musical notation|Fragment
Lewis E M 1:7,15th century|Germany|German|Song book|Musical notation|Fragment
Lewis E M 1:8,15th century|Psalter|Bible|Biblical|Commentary|Italian|Italy|Fragment
Lewis E M 1:9,15th century|16th century|Missal|Liturgy|Germany|German|Fragment
Lewis E M 1:10,15th century|Germany|German|Song book|Musical notation|Fragment
Lewis E M 1:11,15th century|Austria|Austrian|Saint's Life|Biography|Fragment
Lewis E M 1:12,15th century|Austria|Austrian|Saint's Life|Biography|Fragment
Lewis E M 1:13,15th century|Austria|Austrian|Saint's Life|Biography|Fragment
Lewis E M 1:14,15th century|Austria|Austrian|Saint's Life|Biography|Fragment
Lewis E M 1:15,15th century|Austria|Austrian|Saint's Life|Biography|Fragment
Lewis E M 1:15A,15th century|Gradual|Germany|German|Musical notation|Fragment
Lewis E M 1:16,15th century|Austria|Austrian|Song book|Musical notation|Fragment
Lewis E M 1:17,16th century|Germany|German|Missal|Liturgy|Illustration|Fragment
Lewis E M 1:18,16th century|Illustration|Germany|German|Devotion|Fragment
Lewis E M 1:19,16th century|Gradual|Poland|Polish|Liturgy|Watermark|Fragment
Lewis E M 1:20,16th century|Gradual|Poland|Polish|Liturgy|Watermark|Fragment
Lewis E M 1:21,16th century|Gradual|Poland|Polish|Liturgy|Watermark|Fragment
Lewis E M 1:22,16th century|Gradual|Poland|Polish|Liturgy|Watermark|Fragment
Lewis E M 1:23,17th century|18th century|Biography|Saint's Life|Fragment
Lewis E M 1:24,15th century|Missal|Liturgy|Germany|German|Fragment
Lewis E M 1:25,15th century|Austria|Austrian|Missal|Liturgy|Fragment
Lewis E M 1:26,15th century|Germany|German|Song book|Musical notation|Fragment
Lewis E M 1:27,15th century|Breviary|Liturgy|Germany|German|Fragment
Lewis E M 1:28,15th century|Missal|Liturgy|Germany|German|Fragment
Lewis E M 1:29,15th century|Austria|Austrian|Song book|Musical notation|Fragment
Lewis E M 2:1,15th century|Antiphonary|Germany|German|Liturgy|Fragment
Lewis E M 2:2,14th century|Antiphonary|Germany|German|Liturgy|Fragment
Lewis E M 2:3,14th century|Antiphonary|Germany|German|Liturgy|Fragment
Lewis E M 2:4,14th century|Antiphonary|Germany|German|Liturgy|Fragment
